,pts,pts_from,year,points_to
7,6,Germany,1984,italy
8,1,Norway,1984,italy
9,70,points received,1984,italy
0,10,Italy,1984,united-kingdom
1,8,Ireland,1984,united-kingdom
2,8,Norway,1984,united-kingdom
3,7,Germany,1984,united-kingdom
4,6,Portugal,1984,united-kingdom
5,4,Finland,1984,united-kingdom
6,4,The Netherlands,1984,united-kingdom
7,3,Sweden,1984,united-kingdom
8,3,Spain,1984,united-kingdom
9,2,Austria,1984,united-kingdom
10,2,Cyprus,1984,united-kingdom
11,2,Belgium,1984,united-kingdom
12,1,Turkey,1984,united-kingdom
13,1,Denmark,1984,united-kingdom
14,1,Yugoslavia,1984,united-kingdom
15,1,Luxembourg,1984,united-kingdom
16,63,points received,1984,united-kingdom
0,12,Norway,1984,denmark
1,12,United Kingdom,1984,denmark
2,10,Ireland,1984,denmark
3,8,Belgium,1984,denmark
4,8,France,1984,denmark
5,6,Spain,1984,denmark
6,6,Yugoslavia,1984,denmark
7,5,Finland,1984,denmark
8,5,Germany,1984,denmark
9,5,Cyprus,1984,denmark
10,5,Sweden,1984,denmark
11,5,Italy,1984,denmark
12,4,Austria,1984,denmark
13,3,The Netherlands,1984,denmark
14,3,Luxembourg,1984,denmark
15,2,Turkey,1984,denmark
16,1,Switzerland,1984,denmark
17,1,Portugal,1984,denmark
18,101,points received,1984,denmark
0,12,Luxembourg,1984,belgium
1,12,France,1984,belgium
2,10,Finland,1984,belgium
3,10,Portugal,1984,belgium
4,8,The Netherlands,1984,belgium
5,5,Turkey,1984,belgium
6,4,Germany,1984,belgium
7,3,Austria,1984,belgium
8,3,Norway,1984,belgium
9,2,Spain,1984,belgium
10,1,Italy,1984,belgium
11,70,points received,1984,belgium
0,12,Yugoslavia,1984,cyprus
1,10,Denmark,1984,cyprus
2,4,Ireland,1984,cyprus
3,4,Sweden,1984,cyprus
4,1,France,1984,cyprus
5,31,points received,1984,cyprus
0,12,Germany,1984,sweden
1,12,Cyprus,1984,sweden
2,12,Denmark,1984,sweden
3,12,Austria,1984,sweden
4,12,Ireland,1984,sweden
5,10,Norway,1984,sweden
6,10,Switzerland,1984,sweden
7,10,The Netherlands,1984,sweden
8,8,Finland,1984,sweden
9,7,United Kingdom,1984,sweden
10,7,Belgium,1984,sweden
11,6,Italy,1984,sweden
12,6,Luxembourg,1984,sweden
13,6,France,1984,sweden
14,4,Spain,1984,sweden
15,4,Yugoslavia,1984,sweden
16,4,Portugal,1984,sweden
17,3,Turkey,1984,sweden
18,145,points received,1984,sweden
0,12,The Netherlands,1984,france
1,10,Belgium,1984,france
2,8,Austria,1984,france
3,7,Portugal,1984,france
4,7,Italy,1984,france
5,6,United Kingdom,1984,france
6,4,Switzerland,1984,france
7,3,Cyprus,1984,france
8,2,Sweden,1984,france
9,2,Norway,1984,france
10,61,points received,1984,france
0,12,Italy,1984,ireland
1,12,Switzerland,1984,ireland
2,12,Belgium,1984,ireland
3,12,Sweden,1984,ireland
4,10,Cyprus,1984,ireland
5,10,Germany,1984,ireland
6,10,Austria,1984,ireland
7,10,Spain,1984,ireland
8,10,Turkey,1984,ireland
9,8,United Kingdom,1984,ireland
10,7,The Netherlands,1984,ireland
11,7,Finland,1984,ireland
12,5,Luxembourg,1984,ireland
13,4,Norway,1984,ireland
14,3,France,1984,ireland
15,3,Denmark,1984,ireland
16,2,Portugal,1984,ireland
17,137,points received,1984,ireland
