,pts,pts_from,year,points_to
0,12,Turkey,1984,spain
1,12,Portugal,1984,spain
2,10,Sweden,1984,spain
3,10,France,1984,spain
4,8,Italy,1984,spain
5,8,Luxembourg,1984,spain
6,7,Ireland,1984,spain
7,7,Denmark,1984,spain
8,6,Norway,1984,spain
9,6,Austria,1984,spain
10,6,Cyprus,1984,spain
11,4,United Kingdom,1984,spain
12,3,Belgium,1984,spain
13,3,Switzerland,1984,spain
14,2,The Netherlands,1984,spain
15,2,Yugoslavia,1984,spain
16,106,points received,1984,spain
0,8,Cyprus,1984,yugoslavia
1,8,Turkey,1984,yugoslavia
2,3,United Kingdom,1984,yugoslavia
3,3,Germany,1984,yugoslavia
4,2,France,1984,yugoslavia
5,2,Finland,1984,yugoslavia
6,26,points received,1984,yugoslavia
0,7,Norway,1984,germany
1,6,Belgium,1984,germany
2,5,The Netherlands,1984,germany
3,5,Portugal,1984,germany
4,4,France,1984,germany
5,2,Italy,1984,germany
6,2,United Kingdom,1984,germany
7,2,Denmark,1984,germany
8,1,Austria,1984,germany
9,34,points received,1984,germany
0,10,United Kingdom,1984,switzerland
1,8,Denmark,1984,switzerland
2,5,Belgium,1984,switzerland
3,4,Italy,1984,switzerland
4,1,Cyprus,1984,switzerland
5,1,Sweden,1984,switzerland
6,1,Finland,1984,switzerland
7,30,points received,1984,switzerland
0,8,Yugoslavia,1984,luxembourg
1,7,Spain,1984,luxembourg
2,7,Cyprus,1984,luxembourg
3,5,Ireland,1984,luxembourg
4,5,Denmark,1984,luxembourg
5,4,Turkey,1984,luxembourg
6,3,Italy,1984,luxembourg
7,39,points received,1984,luxembourg
0,8,Spain,1984,the-netherlands
1,7,France,1984,the-netherlands
2,6,Ireland,1984,the-netherlands
3,5,Yugoslavia,1984,the-netherlands
4,5,Switzerland,1984,the-netherlands
5,2,Luxembourg,1984,the-netherlands
6,1,United Kingdom,1984,the-netherlands
7,34,points received,1984,the-netherlands
0,4,Denmark,1984,austria
1,1,Ireland,1984,austria
2,5,points received,1984,austria
0,10,Yugoslavia,1984,turkey
1,6,Sweden,1984,turkey
2,6,Switzerland,1984,turkey
3,5,United Kingdom,1984,turkey
4,4,Belgium,1984,turkey
5,3,Finland,1984,turkey
6,2,Ireland,1984,turkey
7,1,The Netherlands,1984,turkey
8,37,points received,1984,turkey
0,8,Germany,1984,portugal
1,8,Switzerland,1984,portugal
2,7,Yugoslavia,1984,portugal
3,6,The Netherlands,1984,portugal
4,5,Spain,1984,portugal
5,4,Luxembourg,1984,portugal
6,38,points received,1984,portugal
0,8,Sweden,1984,norway
1,7,Luxembourg,1984,norway
2,6,Finland,1984,norway
3,3,Ireland,1984,norway
4,2,Germany,1984,norway
5,2,Switzerland,1984,norway
6,1,Belgium,1984,norway
7,29,points received,1984,norway
0,7,Sweden,1984,finland
1,6,Denmark,1984,finland
2,6,Turkey,1984,finland
3,5,Norway,1984,finland
4,5,Austria,1984,finland
5,5,France,1984,finland
6,4,Cyprus,1984,finland
7,3,Yugoslavia,1984,finland
8,3,Portugal,1984,finland
9,1,Spain,1984,finland
10,1,Germany,1984,finland
11,46,points received,1984,finland
0,12,Spain,1984,italy
1,12,Finland,1984,italy
2,10,Luxembourg,1984,italy
3,8,Portugal,1984,italy
4,7,Austria,1984,italy
5,7,Turkey,1984,italy
6,7,Switzerland,1984,italy
