,pts,pts_from,year,points_to
0,12,Norway,1991,france
1,12,Austria,1991,france
2,12,Italy,1991,france
3,12,Israel,1991,france
4,10,Finland,1991,france
5,10,Yugoslavia,1991,france
6,8,Spain,1991,france
7,8,Greece,1991,france
8,8,Germany,1991,france
9,7,Belgium,1991,france
10,7,Ireland,1991,france
11,7,Iceland,1991,france
12,7,Switzerland,1991,france
13,7,Cyprus,1991,france
14,6,United Kingdom,1991,france
15,5,Portugal,1991,france
16,5,Sweden,1991,france
17,3,Malta,1991,france
18,146,points received,1991,france
0,8,Luxembourg,1991,ireland
1,7,Denmark,1991,ireland
2,5,Belgium,1991,ireland
3,4,United Kingdom,1991,ireland
4,4,Malta,1991,ireland
5,4,Turkey,1991,ireland
6,3,Switzerland,1991,ireland
7,3,Yugoslavia,1991,ireland
8,3,Italy,1991,ireland
9,2,Finland,1991,ireland
10,2,Germany,1991,ireland
11,1,Austria,1991,ireland
12,1,Israel,1991,ireland
13,47,points received,1991,ireland
0,12,Cyprus,1991,spain
1,12,Switzerland,1991,spain
2,10,Greece,1991,spain
3,8,Yugoslavia,1991,spain
4,8,Turkey,1991,spain
5,8,Portugal,1991,spain
6,7,Austria,1991,spain
7,7,Germany,1991,spain
8,6,Malta,1991,spain
9,6,Ireland,1991,spain
10,6,Belgium,1991,spain
11,6,Luxembourg,1991,spain
12,6,France,1991,spain
13,4,Norway,1991,spain
14,4,Finland,1991,spain
15,4,Sweden,1991,spain
16,2,Israel,1991,spain
17,2,Iceland,1991,spain
18,1,United Kingdom,1991,spain
19,119,points received,1991,spain
0,1,Malta,1991,yugoslavia
1,1,points received,1991,yugoslavia
0,12,Luxembourg,1991,switzerland
1,12,Belgium,1991,switzerland
2,8,Sweden,1991,switzerland
3,8,Israel,1991,switzerland
4,8,United Kingdom,1991,switzerland
5,8,Austria,1991,switzerland
6,8,Cyprus,1991,switzerland
7,7,Greece,1991,switzerland
8,6,Germany,1991,switzerland
9,6,Portugal,1991,switzerland
10,5,Finland,1991,switzerland
11,5,Iceland,1991,switzerland
12,5,Yugoslavia,1991,switzerland
13,5,Denmark,1991,switzerland
14,4,France,1991,switzerland
15,4,Italy,1991,switzerland
16,3,Norway,1991,switzerland
17,2,Turkey,1991,switzerland
18,2,Ireland,1991,switzerland
19,118,points received,1991,switzerland
0,8,Italy,1991,turkey
1,8,Denmark,1991,turkey
2,7,Israel,1991,turkey
3,7,France,1991,turkey
