,pts,pts_from,year,points_to
0,9,France,1971,italy
1,9,Monaco,1971,italy
2,8,Yugoslavia,1971,italy
3,8,Switzerland,1971,italy
4,7,Sweden,1971,italy
5,6,Spain,1971,italy
6,6,United Kingdom,1971,italy
7,6,Germany,1971,italy
8,6,Malta,1971,italy
9,6,Ireland,1971,italy
10,5,Norway,1971,italy
11,4,Austria,1971,italy
12,3,Portugal,1971,italy
13,2,The Netherlands,1971,italy
14,2,Finland,1971,italy
15,2,Belgium,1971,italy
16,2,Luxembourg,1971,italy
17,91,points received,1971,italy
0,9,The Netherlands,1971,france
1,8,Monaco,1971,france
2,8,Switzerland,1971,france
3,6,Ireland,1971,france
4,5,Germany,1971,france
5,5,Norway,1971,france
6,5,Portugal,1971,france
7,5,Spain,1971,france
8,5,United Kingdom,1971,france
9,5,Yugoslavia,1971,france
10,4,Italy,1971,france
11,4,Sweden,1971,france
12,3,Belgium,1971,france
13,3,Finland,1971,france
14,3,Austria,1971,france
15,2,Luxembourg,1971,france
16,2,Malta,1971,france
17,82,points received,1971,france
0,7,Austria,1971,ireland
1,7,France,1971,ireland
2,6,Italy,1971,ireland
3,6,United Kingdom,1971,ireland
4,6,Malta,1971,ireland
5,6,Monaco,1971,ireland
6,5,The Netherlands,1971,ireland
7,5,Spain,1971,ireland
8,5,Yugoslavia,1971,ireland
9,4,Germany,1971,ireland
10,4,Portugal,1971,ireland
11,4,Norway,1971,ireland
12,4,Finland,1971,ireland
13,3,Belgium,1971,ireland
14,3,Switzerland,1971,ireland
15,2,Luxembourg,1971,ireland
16,2,Sweden,1971,ireland
17,79,points received,1971,ireland
0,10,Monaco,1971,spain
1,10,France,1971,spain
2,9,Finland,1971,spain
3,9,Ireland,1971,spain
4,8,Malta,1971,spain
5,8,Norway,1971,spain
6,7,Portugal,1971,spain
7,7,United Kingdom,1971,spain
8,7,Yugoslavia,1971,spain
9,7,Germany,1971,spain
10,6,The Netherlands,1971,spain
11,6,Sweden,1971,spain
12,5,Italy,1971,spain
13,5,Switzerland,1971,spain
14,4,Luxembourg,1971,spain
15,4,Belgium,1971,spain
16,4,Austria,1971,spain
17,116,points received,1971,spain
0,8,Monaco,1971,united-kingdom
1,8,France,1971,united-kingdom
2,8,Belgium,1971,united-kingdom
3,8,Malta,1971,united-kingdom
4,7,Ireland,1971,united-kingdom
5,7,Portugal,1971,united-kingdom
6,6,Yugoslavia,1971,united-kingdom
7,6,Switzerland,1971,united-kingdom
8,6,Finland,1971,united-kingdom
9,6,Norway,1971,united-kingdom
10,5,The Netherlands,1971,united-kingdom
11,5,Germany,1971,united-kingdom
12,5,Sweden,1971,united-kingdom
13,4,Luxembourg,1971,united-kingdom
14,4,Austria,1971,united-kingdom
15,3,Italy,1971,united-kingdom
16,2,Spain,1971,united-kingdom
17,98,points received,1971,united-kingdom
0,7,Germany,1971,yugoslavia
1,6,France,1971,yugoslavia
2,6,Spain,1971,yugoslavia
3,6,Austria,1971,yugoslavia
4,5,Italy,1971,yugoslavia
5,5,Ireland,1971,yugoslavia
6,5,Norway,1971,yugoslavia
7,4,Monaco,1971,yugoslavia
8,4,The Netherlands,1971,yugoslavia
9,4,Portugal,1971,yugoslavia
10,3,United Kingdom,1971,yugoslavia
11,3,Finland,1971,yugoslavia
