,pts,pts_from,year,points_to
0,10,United Kingdom,2000,ireland
1,10,Malta,2000,ireland
2,8,Switzerland,2000,ireland
3,7,Cyprus,2000,ireland
4,7,Turkey,2000,ireland
5,6,Norway,2000,ireland
6,5,Croatia,2000,ireland
7,5,Denmark,2000,ireland
8,4,France,2000,ireland
9,4,Austria,2000,ireland
10,4,Belgium,2000,ireland
11,4,Sweden,2000,ireland
12,4,Estonia,2000,ireland
13,3,Spain,2000,ireland
14,3,The Netherlands,2000,ireland
15,2,Romania,2000,ireland
16,2,Iceland,2000,ireland
17,2,Israel,2000,ireland
18,1,Finland,2000,ireland
19,1,Latvia,2000,ireland
20,92,points received,2000,ireland
0,12,Denmark,2000,iceland
1,8,Sweden,2000,iceland
2,7,Norway,2000,iceland
3,7,Latvia,2000,iceland
4,6,Estonia,2000,iceland
5,5,Israel,2000,iceland
6,45,points received,2000,iceland
0,10,Cyprus,2000,spain
1,5,Romania,2000,spain
2,2,Russia,2000,spain
3,1,Switzerland,2000,spain
4,18,points received,2000,spain
0,6,Turkey,2000,united-kingdom
1,6,Malta,2000,united-kingdom
2,4,Croatia,2000,united-kingdom
3,3,Cyprus,2000,united-kingdom
4,3,Latvia,2000,united-kingdom
5,3,Romania,2000,united-kingdom
6,2,Estonia,2000,united-kingdom
7,1,Israel,2000,united-kingdom
8,28,points received,2000,united-kingdom
0,12,Spain,2000,germany
1,12,Switzerland,2000,germany
2,12,Austria,2000,germany
3,10,France,2000,germany
4,8,The Netherlands,2000,germany
5,8,Latvia,2000,germany
6,6,Belgium,2000,germany
7,6,Iceland,2000,germany
8,5,United Kingdom,2000,germany
9,5,Ireland,2000,germany
10,4,Russia,2000,germany
11,3,Norway,2000,germany
12,2,Finland,2000,germany
13,2,Denmark,2000,germany
14,1,Croatia,2000,germany
15,96,points received,2000,germany
0,6,The Netherlands,2000,switzerland
1,5,Russia,2000,switzerland
2,2,Latvia,2000,switzerland
3,1,Austria,2000,switzerland
4,14,points received,2000,switzerland
0,12,France,2000,turkey
1,12,The Netherlands,2000,turkey
2,10,Germany,2000,turkey
3,5,North Macedonia,2000,turkey
4,5,Austria,2000,turkey
5,5,Switzerland,2000,turkey
6,4,Finland,2000,turkey
7,3,Belgium,2000,turkey
8,1,Sweden,2000,turkey
9,1,Norway,2000,turkey
10,1,Denmark,2000,turkey
11,59,points received,2000,turkey
0,7,Estonia,2000,finland
1,5,The Netherlands,2000,finland
2,4,Romania,2000,finland
3,2,Sweden,2000,finland
4,18,points received,2000,finland
0,12,Finland,2000,latvia
1,12,Belgium,2000,latvia
2,12,Estonia,2000,latvia
3,12,Norway,2000,latvia
4,10,Sweden,2000,latvia
5,10,Iceland,2000,latvia
6,8,Ireland,2000,latvia
7,8,Austria,2000,latvia
8,8,Denmark,2000,latvia
9,7,Spain,2000,latvia
10,7,Germany,2000,latvia
11,7,Switzerland,2000,latvia
12,7,United Kingdom,2000,latvia
13,4,Israel,2000,latvia
14,4,The Netherlands,2000,latvia
15,3,France,2000,latvia
16,3,North Macedonia,2000,latvia
17,1,Russia,2000,latvia
18,1,Cyprus,2000,latvia
19,136,points received,2000,latvia
0,8,North Macedonia,2000,malta
1,8,Croatia,2000,malta
2,8,Russia,2000,malta
3,8,Cyprus,2000,malta
4,7,Romania,2000,malta
5,5,Turkey,2000,malta
6,4,Latvia,2000,malta
7,3,Sweden,2000,malta
8,3,Denmark,2000,malta
9,3,Germany,2000,malta
10,3,Ireland,2000,malta
11,3,Israel,2000,malta
12,2,Austria,2000,malta
13,2,United Kingdom,2000,malta
14,2,Norway,2000,malta
15,1,Spain,2000,malta
16,1,Belgium,2000,malta
17,1,The Netherlands,2000,malta
18,1,Estonia,2000,malta
19,73,points received,2000,malta
0,3,Russia,2000,france
1,2,The Netherlands,2000,france
2,5,points received,2000,france
0,12,United Kingdom,2000,denmark
1,12,Russia,2000,denmark
2,12,Latvia,2000,denmark
3,12,Sweden,2000,denmark
4,12,Israel,2000,denmark
5,12,Germany,2000,denmark
6,12,Iceland,2000,denmark
7,12,Ireland,2000,denmark
8,10,The Netherlands,2000,denmark
9,10,Spain,2000,denmark
10,10,Austria,2000,denmark
11,10,Switzerland,2000,denmark
12,10,Belgium,2000,denmark
13,10,Norway,2000,denmark
14,10,Finland,2000,denmark
15,8,Estonia,2000,denmark
16,8,Malta,2000,denmark
17,7,France,2000,denmark
18,4,Cyprus,2000,denmark
19,1,Turkey,2000,denmark
20,1,Romania,2000,denmark
21,195,points received,2000,denmark
0,8,Spain,2000,austria
1,5,Latvia,2000,austria
2,4,Turkey,2000,austria
3,4,Switzerland,2000,austria
4,3,Finland,2000,austria
5,3,Iceland,2000,austria
6,2,Malta,2000,austria
7,2,Germany,2000,austria
8,2,Ireland,2000,austria
9,1,United Kingdom,2000,austria
10,34,points received,2000,austria
0,2,North Macedonia,2000,belgium
1,2,points received,2000,belgium
0,4,North Macedonia,2000,cyprus
1,3,Croatia,2000,cyprus
2,1,Malta,2000,cyprus
3,8,points received,2000,cyprus
0,8,Belgium,2000,the-netherlands
1,8,Israel,2000,the-netherlands
2,5,Malta,2000,the-netherlands
3,5,Cyprus,2000,the-netherlands
4,4,Spain,2000,the-netherlands
5,3,Turkey,2000,the-netherlands
6,2,France,2000,the-netherlands
7,2,Croatia,2000,the-netherlands
8,1,Germany,2000,the-netherlands
9,1,Ireland,2000,the-netherlands
10,1,Iceland,2000,the-netherlands
11,40,points received,2000,the-netherlands
0,12,Turkey,2000,sweden
1,10,Denmark,2000,sweden
2,8,Germany,2000,sweden
3,7,Finland,2000,sweden
4,6,North Macedonia,2000,sweden
5,6,Ireland,2000,sweden
6,6,Spain,2000,sweden
7,6,United Kingdom,2000,sweden
8,5,Belgium,2000,sweden
9,5,Norway,2000,sweden
10,5,Estonia,2000,sweden
11,4,Malta,2000,sweden
12,4,Iceland,2000,sweden
13,3,Switzerland,2000,sweden
14,1,France,2000,sweden
15,88,points received,2000,sweden
0,6,France,2000,israel
1,1,North Macedonia,2000,israel
2,7,points received,2000,israel
0,10,Turkey,2000,norway
1,7,Israel,2000,norway
2,7,Iceland,2000,norway
3,7,Denmark,2000,norway
4,7,Sweden,2000,norway
5,6,Latvia,2000,norway
6,4,Ireland,2000,norway
7,3,Estonia,2000,norway
8,3,United Kingdom,2000,norway
9,3,Malta,2000,norway
10,57,points received,2000,norway
0,10,North Macedonia,2000,croatia
1,10,Russia,2000,croatia
2,8,Turkey,2000,croatia
3,8,France,2000,croatia
4,8,Romania,2000,croatia
5,6,Finland,2000,croatia
6,6,Germany,2000,croatia
7,6,Austria,2000,croatia
8,6,Switzerland,2000,croatia
9,2,Spain,2000,croatia
10,70,points received,2000,croatia
0,10,Latvia,2000,estonia
1,8,Finland,2000,estonia
2,7,The Netherlands,2000,estonia
3,7,Ireland,2000,estonia
4,7,Malta,2000,estonia
5,6,Romania,2000,estonia
6,6,Cyprus,2000,estonia
7,6,Sweden,2000,estonia
8,6,Israel,2000,estonia
9,6,Croatia,2000,estonia
10,5,Germany,2000,estonia
11,5,Iceland,2000,estonia
12,4,Denmark,2000,estonia
13,4,Norway,2000,estonia
14,4,United Kingdom,2000,estonia
15,3,Austria,2000,estonia
16,2,Belgium,2000,estonia
17,2,Turkey,2000,estonia
18,98,points received,2000,estonia
0,12,North Macedonia,2000,romania
1,7,Croatia,2000,romania
2,6,Russia,2000,romania
3,25,points received,2000,romania
0,10,Croatia,2000,fyr-macedonia
1,10,Romania,2000,fyr-macedonia
2,7,Russia,2000,fyr-macedonia
3,2,Cyprus,2000,fyr-macedonia
4,29,points received,2000,fyr-macedonia
0,12,Romania,2000,russia
1,12,Cyprus,2000,russia
2,12,Croatia,2000,russia
3,12,Malta,2000,russia
4,10,Israel,2000,russia
5,10,Ireland,2000,russia
6,10,Estonia,2000,russia
7,8,United Kingdom,2000,russia
8,8,Norway,2000,russia
9,8,Iceland,2000,russia
10,7,North Macedonia,2000,russia
11,7,Austria,2000,russia
12,7,Belgium,2000,russia
13,6,Denmark,2000,russia
14,5,Sweden,2000,russia
15,5,Finland,2000,russia
16,5,France,2000,russia
17,5,Spain,2000,russia
18,4,Germany,2000,russia
19,2,Switzerland,2000,russia
20,155,points received,2000,russia
