,pts,pts_from,year,points_to
0,12,Switzerland,2002,spain
1,12,Belgium,2002,spain
2,12,France,2002,spain
3,7,Cyprus,2002,spain
4,7,Germany,2002,spain
5,7,Sweden,2002,spain
6,6,Croatia,2002,spain
7,6,Israel,2002,spain
8,6,Bosnia & Herzegovina,2002,spain
9,4,Greece,2002,spain
10,2,United Kingdom,2002,spain
11,81,points received,2002,spain
0,12,Austria,2002,united-kingdom
1,10,Malta,2002,united-kingdom
2,8,Finland,2002,united-kingdom
3,8,Germany,2002,united-kingdom
4,8,Lithuania,2002,united-kingdom
5,8,Slovenia,2002,united-kingdom
6,7,Greece,2002,united-kingdom
7,7,Bosnia & Herzegovina,2002,united-kingdom
8,6,Denmark,2002,united-kingdom
9,6,Switzerland,2002,united-kingdom
10,6,Estonia,2002,united-kingdom
11,6,Belgium,2002,united-kingdom
12,5,Israel,2002,united-kingdom
13,5,Latvia,2002,united-kingdom
14,4,North Macedonia,2002,united-kingdom
15,2,Turkey,2002,united-kingdom
16,2,Sweden,2002,united-kingdom
17,1,France,2002,united-kingdom
18,111,points received,2002,united-kingdom
0,10,Turkey,2002,belgium
1,7,Russia,2002,belgium
2,4,United Kingdom,2002,belgium
3,4,Denmark,2002,belgium
4,3,Sweden,2002,belgium
5,2,France,2002,belgium
6,2,Lithuania,2002,belgium
7,1,Spain,2002,belgium
8,33,points received,2002,belgium
0,12,Bosnia & Herzegovina,2002,sweden
1,10,Denmark,2002,sweden
2,10,Lithuania,2002,sweden
3,8,Estonia,2002,sweden
4,7,Finland,2002,sweden
5,7,Slovenia,2002,sweden
6,4,Turkey,2002,sweden
7,4,Austria,2002,sweden
8,4,Latvia,2002,sweden
9,3,Israel,2002,sweden
10,1,Greece,2002,sweden
11,1,Belgium,2002,sweden
12,1,United Kingdom,2002,sweden
13,72,points received,2002,sweden
0,12,Cyprus,2002,greece
1,8,Russia,2002,greece
2,6,Romania,2002,greece
3,1,Croatia,2002,greece
4,27,points received,2002,greece
0,10,Sweden,2002,finland
1,5,Estonia,2002,finland
2,3,Denmark,2002,finland
3,3,Bosnia & Herzegovina,2002,finland
4,2,Cyprus,2002,finland
5,1,North Macedonia,2002,finland
6,24,points received,2002,finland
0,8,Croatia,2002,slovenia
1,7,Spain,2002,slovenia
2,6,United Kingdom,2002,slovenia
3,5,France,2002,slovenia
4,2,North Macedonia,2002,slovenia
5,2,Austria,2002,slovenia
6,2,Switzerland,2002,slovenia
7,1,Bosnia & Herzegovina,2002,slovenia
8,33,points received,2002,slovenia
0,12,Slovenia,2002,croatia
1,6,Cyprus,2002,croatia
2,6,Austria,2002,croatia
3,5,North Macedonia,2002,croatia
4,5,Switzerland,2002,croatia
5,5,Greece,2002,croatia
6,3,Germany,2002,croatia
7,2,Bosnia & Herzegovina,2002,croatia
8,44,points received,2002,croatia
0,12,Latvia,2002,estonia
1,12,Sweden,2002,estonia
2,10,Finland,2002,estonia
3,10,Bosnia & Herzegovina,2002,estonia
4,8,Denmark,2002,estonia
5,8,Turkey,2002,estonia
6,7,United Kingdom,2002,estonia
7,7,Lithuania,2002,estonia
8,6,Slovenia,2002,estonia
9,6,North Macedonia,2002,estonia
10,5,Croatia,2002,estonia
11,4,Belgium,2002,estonia
12,4,Germany,2002,estonia
13,3,Austria,2002,estonia
14,3,Russia,2002,estonia
15,2,Israel,2002,estonia
16,2,Malta,2002,estonia
17,2,Romania,2002,estonia
18,111,points received,2002,estonia
0,12,Spain,2002,latvia
1,12,Israel,2002,latvia
2,12,Lithuania,2002,latvia
3,12,Estonia,2002,latvia
4,12,Germany,2002,latvia
5,10,Russia,2002,latvia
6,10,Austria,2002,latvia
7,10,Greece,2002,latvia
8,8,France,2002,latvia
9,8,Belgium,2002,latvia
10,8,United Kingdom,2002,latvia
11,8,Switzerland,2002,latvia
12,7,Malta,2002,latvia
13,7,North Macedonia,2002,latvia
14,7,Denmark,2002,latvia
15,6,Finland,2002,latvia
16,6,Turkey,2002,latvia
17,5,Bosnia & Herzegovina,2002,latvia
18,5,Sweden,2002,latvia
19,5,Slovenia,2002,latvia
20,4,Cyprus,2002,latvia
