,pts,pts_from,year,points_to
21,2,Croatia,2002,latvia
22,176,points received,2002,latvia
0,6,Latvia,2002,lithuania
1,4,Russia,2002,lithuania
2,2,Estonia,2002,lithuania
3,12,points received,2002,lithuania
0,12,Denmark,2002,malta
1,12,United Kingdom,2002,malta
2,12,Croatia,2002,malta
3,10,Spain,2002,malta
4,10,Slovenia,2002,malta
5,10,Germany,2002,malta
6,10,Cyprus,2002,malta
7,10,North Macedonia,2002,malta
8,10,Israel,2002,malta
9,8,Austria,2002,malta
10,7,Latvia,2002,malta
11,7,Belgium,2002,malta
12,7,Estonia,2002,malta
13,6,France,2002,malta
14,6,Greece,2002,malta
15,5,Russia,2002,malta
16,5,Turkey,2002,malta
17,4,Switzerland,2002,malta
18,4,Sweden,2002,malta
19,4,Bosnia & Herzegovina,2002,malta
20,3,Lithuania,2002,malta
21,2,Finland,2002,malta
22,164,points received,2002,malta
0,12,North Macedonia,2002,romania
1,12,Russia,2002,romania
2,8,Israel,2002,romania
3,8,Cyprus,2002,romania
4,8,Greece,2002,romania
5,7,Turkey,2002,romania
6,6,Malta,2002,romania
7,5,Spain,2002,romania
8,4,France,2002,romania
9,1,Germany,2002,romania
10,71,points received,2002,romania
0,10,Romania,2002,russia
1,10,Estonia,2002,russia
2,10,Latvia,2002,russia
3,8,Malta,2002,russia
4,6,Lithuania,2002,russia
5,5,Cyprus,2002,russia
6,3,Finland,2002,russia
7,2,Greece,2002,russia
8,1,Israel,2002,russia
9,55,points received,2002,russia
0,12,Finland,2002,france
1,10,Switzerland,2002,france
2,10,United Kingdom,2002,france
3,10,Belgium,2002,france
4,8,Bosnia & Herzegovina,2002,france
5,8,Sweden,2002,france
6,8,Spain,2002,france
7,7,Israel,2002,france
8,6,Germany,2002,france
9,5,Lithuania,2002,france
10,5,Denmark,2002,france
11,4,Romania,2002,france
12,3,Estonia,2002,france
13,3,Slovenia,2002,france
14,3,Greece,2002,france
15,2,Latvia,2002,france
16,104,points received,2002,france
0,4,Israel,2002,denmark
1,1,Turkey,2002,denmark
2,1,Lithuania,2002,denmark
3,1,Malta,2002,denmark
4,7,points received,2002,denmark
0,4,Malta,2002,germany
1,3,Turkey,2002,germany
2,3,Switzerland,2002,germany
3,2,Spain,2002,germany
4,2,Russia,2002,germany
5,1,Austria,2002,germany
6,1,Romania,2002,germany
7,1,Estonia,2002,germany
8,17,points received,2002,germany
0,12,Turkey,2002,austria
1,7,Switzerland,2002,austria
2,5,Belgium,2002,austria
3,1,Cyprus,2002,austria
4,1,Russia,2002,austria
5,26,points received,2002,austria
0,5,Austria,2002,switzerland
1,3,France,2002,switzerland
2,3,Romania,2002,switzerland
3,2,Germany,2002,switzerland
4,1,Slovenia,2002,switzerland
5,1,Latvia,2002,switzerland
6,15,points received,2002,switzerland
0,8,North Macedonia,2002,turkey
1,7,France,2002,turkey
2,7,Romania,2002,turkey
3,4,Spain,2002,turkey
4,3,Croatia,2002,turkey
5,29,points received,2002,turkey
0,10,France,2002,israel
1,5,United Kingdom,2002,israel
2,5,Germany,2002,israel
3,5,Romania,2002,israel
4,5,Finland,2002,israel
5,3,Latvia,2002,israel
6,2,Belgium,2002,israel
7,1,Denmark,2002,israel
8,1,Switzerland,2002,israel
9,37,points received,2002,israel
0,7,Croatia,2002,bosnia-herzegovina
1,7,Austria,2002,bosnia-herzegovina
2,6,Sweden,2002,bosnia-herzegovina
3,3,Spain,2002,bosnia-herzegovina
4,3,North Macedonia,2002,bosnia-herzegovina
5,3,Malta,2002,bosnia-herzegovina
6,2,Slovenia,2002,bosnia-herzegovina
7,2,Denmark,2002,bosnia-herzegovina
8,33,points received,2002,bosnia-herzegovina
0,12,Romania,2002,fyr-macedonia
1,5,Malta,2002,fyr-macedonia
2,4,Croatia,2002,fyr-macedonia
3,3,Cyprus,2002,fyr-macedonia
4,1,Finland,2002,fyr-macedonia
5,25,points received,2002,fyr-macedonia
0,12,Malta,2002,cyprus
1,12,Greece,2002,cyprus
2,10,Croatia,2002,cyprus
3,8,Romania,2002,cyprus
4,8,Latvia,2002,cyprus
5,6,Russia,2002,cyprus
6,6,Spain,2002,cyprus
7,4,Lithuania,2002,cyprus
8,4,Estonia,2002,cyprus
9,4,Finland,2002,cyprus
10,4,Slovenia,2002,cyprus
11,3,Belgium,2002,cyprus
12,3,United Kingdom,2002,cyprus
13,1,Sweden,2002,cyprus
14,85,points received,2002,cyprus
