,pts,pts_from,year,points_to
0,12,Turkey,1985,spain
1,8,Finland,1985,spain
2,6,Greece,1985,spain
3,4,United Kingdom,1985,spain
4,2,Portugal,1985,spain
5,2,Ireland,1985,spain
6,1,Luxembourg,1985,spain
7,1,Cyprus,1985,spain
8,36,points received,1985,spain
0,8,Greece,1985,cyprus
1,3,Italy,1985,cyprus
2,3,Switzerland,1985,cyprus
3,1,Ireland,1985,cyprus
4,15,points received,1985,cyprus
0,12,Luxembourg,1985,italy
1,12,Portugal,1985,italy
2,12,Spain,1985,italy
3,10,Cyprus,1985,italy
4,8,Turkey,1985,italy
5,6,Finland,1985,italy
6,6,Austria,1985,italy
7,5,France,1985,italy
8,4,Israel,1985,italy
9,2,Belgium,1985,italy
10,1,Denmark,1985,italy
11,78,points received,1985,italy
0,12,Greece,1985,france
1,10,Italy,1985,france
2,6,Sweden,1985,france
3,5,Finland,1985,france
4,4,Cyprus,1985,france
5,4,Switzerland,1985,france
6,3,Austria,1985,france
7,3,Israel,1985,france
8,3,Portugal,1985,france
9,3,Luxembourg,1985,france
10,2,United Kingdom,1985,france
11,1,Turkey,1985,france
12,56,points received,1985,france
0,10,France,1985,denmark
1,6,Germany,1985,denmark
2,6,Norway,1985,denmark
3,5,Sweden,1985,denmark
4,5,Austria,1985,denmark
5,3,Belgium,1985,denmark
6,3,Cyprus,1985,denmark
7,2,Italy,1985,denmark
8,1,Portugal,1985,denmark
9,41,points received,1985,denmark
0,12,Cyprus,1985,germany
1,10,Spain,1985,germany
2,10,Finland,1985,germany
3,10,Denmark,1985,germany
4,10,Belgium,1985,germany
5,10,Luxembourg,1985,germany
6,8,France,1985,germany
7,8,Norway,1985,germany
8,8,Sweden,1985,germany
9,7,Israel,1985,germany
10,7,Portugal,1985,germany
11,4,Ireland,1985,germany
12,1,United Kingdom,1985,germany
13,105,points received,1985,germany
0,10,Israel,1985,austria
1,10,United Kingdom,1985,austria
2,10,Germany,1985,austria
3,7,Denmark,1985,austria
4,5,Greece,1985,austria
5,4,Belgium,1985,austria
6,4,Luxembourg,1985,austria
7,3,Sweden,1985,austria
8,3,Ireland,1985,austria
9,2,Norway,1985,austria
10,1,Switzerland,1985,austria
11,1,France,1985,austria
12,60,points received,1985,austria
0,12,France,1985,israel
1,10,Norway,1985,israel
2,8,Ireland,1985,israel
3,8,Spain,1985,israel
4,7,Austria,1985,israel
5,7,Germany,1985,israel
6,7,Switzerland,1985,israel
7,6,Luxembourg,1985,israel
8,5,United Kingdom,1985,israel
9,5,Cyprus,1985,israel
10,5,Italy,1985,israel
11,5,Portugal,1985,israel
12,4,Denmark,1985,israel
13,2,Greece,1985,israel
14,2,Sweden,1985,israel
15,93,points received,1985,israel
0,7,Greece,1985,portugal
1,2,Turkey,1985,portugal
2,9,points received,1985,portugal
0,12,Israel,1985,norway
1,12,Belgium,1985,norway
2,12,Ireland,1985,norway
3,12,Sweden,1985,norway
4,12,United Kingdom,1985,norway
5,12,Denmark,1985,norway
6,12,Germany,1985,norway
7,12,Austria,1985,norway
8,7,Luxembourg,1985,norway
9,6,Italy,1985,norway
10,6,Switzerland,1985,norway
11,4,Finland,1985,norway
12,2,France,1985,norway
13,1,Spain,1985,norway
14,1,Greece,1985,norway
15,123,points received,1985,norway
0,12,Italy,1985,ireland
1,10,Austria,1985,ireland
2,8,Belgium,1985,ireland
3,8,Israel,1985,ireland
4,8,Portugal,1985,ireland
5,7,Cyprus,1985,ireland
6,7,Sweden,1985,ireland
7,5,Switzerland,1985,ireland
8,5,Turkey,1985,ireland
9,4,Germany,1985,ireland
10,4,Spain,1985,ireland
11,3,France,1985,ireland
12,3,Norway,1985,ireland
13,3,United Kingdom,1985,ireland
14,3,Denmark,1985,ireland
15,1,Finland,1985,ireland
16,91,points received,1985,ireland
0,10,Switzerland,1985,united-kingdom
1,10,Turkey,1985,united-kingdom
2,8,Italy,1985,united-kingdom
3,8,Luxembourg,1985,united-kingdom
4,7,Finland,1985,united-kingdom
5,7,Norway,1985,united-kingdom
6,6,France,1985,united-kingdom
7,6,Belgium,1985,united-kingdom
8,6,Portugal,1985,united-kingdom
9,5,Ireland,1985,united-kingdom
10,5,Germany,1985,united-kingdom
11,5,Denmark,1985,united-kingdom
12,5,Spain,1985,united-kingdom
13,4,Greece,1985,united-kingdom
14,4,Sweden,1985,united-kingdom
15,2,Israel,1985,united-kingdom
16,2,Austria,1985,united-kingdom
17,100,points received,1985,united-kingdom
0,6,Turkey,1985,switzerland
1,6,Denmark,1985,switzerland
2,5,Norway,1985,switzerland
3,5,Belgium,1985,switzerland
4,4,Portugal,1985,switzerland
5,3,Finland,1985,switzerland
6,3,Greece,1985,switzerland
7,2,Cyprus,1985,switzerland
8,2,Luxembourg,1985,switzerland
9,1,Germany,1985,switzerland
10,1,Austria,1985,switzerland
11,1,Sweden,1985,switzerland
12,39,points received,1985,switzerland
0,7,Turkey,1985,belgium
1,7,points received,1985,belgium
0,10,Portugal,1985,luxembourg
1,8,Austria,1985,luxembourg
2,5,Israel,1985,luxembourg
3,4,Norway,1985,luxembourg
4,4,France,1985,luxembourg
5,3,Germany,1985,luxembourg
6,2,Denmark,1985,luxembourg
7,1,Italy,1985,luxembourg
8,37,points received,1985,luxembourg
0,12,Finland,1985,sweden
1,12,Norway,1985,sweden
2,10,Ireland,1985,sweden
3,8,Denmark,1985,sweden
4,8,Germany,1985,sweden
5,8,Switzerland,1985,sweden
6,7,Belgium,1985,sweden
7,7,France,1985,sweden
8,6,United Kingdom,1985,sweden
9,6,Israel,1985,sweden
10,5,Luxembourg,1985,sweden
11,4,Austria,1985,sweden
12,4,Italy,1985,sweden
13,4,Turkey,1985,sweden
14,2,Spain,1985,sweden
15,103,points received,1985,sweden
0,8,Cyprus,1985,greece
1,7,Spain,1985,greece
2,15,points received,1985,greece
0,12,Switzerland,1985,turkey
1,8,United Kingdom,1985,turkey
2,7,Ireland,1985,turkey
3,3,Spain,1985,turkey
4,2,Germany,1985,turkey
5,2,Finland,1985,turkey
6,1,Belgium,1985,turkey
7,1,Norway,1985,turkey
8,36,points received,1985,turkey
0,10,Sweden,1985,finland
1,10,Greece,1985,finland
2,7,Italy,1985,finland
3,7,United Kingdom,1985,finland
4,6,Cyprus,1985,finland
5,6,Spain,1985,finland
6,6,Ireland,1985,finland
7,3,Turkey,1985,finland
8,2,Switzerland,1985,finland
9,1,Israel,1985,finland
10,58,points received,1985,finland
