,pts,pts_from,year,points_to
0,8,Turkey,1986,spain
1,7,Austria,1986,spain
2,7,Luxembourg,1986,spain
3,6,France,1986,spain
4,5,Ireland,1986,spain
5,4,Yugoslavia,1986,spain
6,3,Belgium,1986,spain
7,3,Denmark,1986,spain
8,3,Portugal,1986,spain
9,2,Iceland,1986,spain
10,1,United Kingdom,1986,spain
11,1,Finland,1986,spain
12,1,Switzerland,1986,spain
13,51,points received,1986,spain
0,10,France,1986,united-kingdom
1,10,Finland,1986,united-kingdom
2,8,Denmark,1986,united-kingdom
3,8,Sweden,1986,united-kingdom
4,6,Turkey,1986,united-kingdom
5,6,Norway,1986,united-kingdom
6,5,Germany,1986,united-kingdom
7,4,Luxembourg,1986,united-kingdom
8,4,Switzerland,1986,united-kingdom
9,3,Austria,1986,united-kingdom
10,2,Portugal,1986,united-kingdom
11,2,Israel,1986,united-kingdom
12,2,Spain,1986,united-kingdom
13,2,Cyprus,1986,united-kingdom
14,72,points received,1986,united-kingdom
0,10,Israel,1986,denmark
1,10,Norway,1986,denmark
2,7,Cyprus,1986,denmark
3,7,Iceland,1986,denmark
4,7,Germany,1986,denmark
5,6,United Kingdom,1986,denmark
6,5,France,1986,denmark
7,5,Spain,1986,denmark
8,5,Portugal,1986,denmark
9,4,Sweden,1986,denmark
10,4,Ireland,1986,denmark
11,4,The Netherlands,1986,denmark
12,3,Switzerland,1986,denmark
13,77,points received,1986,denmark
0,12,Yugoslavia,1986,turkey
1,8,Germany,1986,turkey
2,8,Switzerland,1986,turkey
3,6,Luxembourg,1986,turkey
4,6,The Netherlands,1986,turkey
5,6,Belgium,1986,turkey
6,3,Israel,1986,turkey
7,2,Austria,1986,turkey
8,2,United Kingdom,1986,turkey
9,53,points received,1986,turkey
0,5,Switzerland,1986,israel
1,1,France,1986,israel
2,1,Norway,1986,israel
3,7,points received,1986,israel
0,6,Cyprus,1986,norway
1,6,Ireland,1986,norway
2,6,Germany,1986,norway
3,6,Switzerland,1986,norway
4,5,Belgium,1986,norway
5,5,Denmark,1986,norway
6,4,France,1986,norway
7,4,Iceland,1986,norway
8,2,The Netherlands,1986,norway
9,44,points received,1986,norway
0,6,Spain,1986,iceland
1,5,The Netherlands,1986,iceland
2,4,Cyprus,1986,iceland
3,2,Sweden,1986,iceland
4,2,Turkey,1986,iceland
5,19,points received,1986,iceland
0,12,United Kingdom,1986,germany
1,8,Austria,1986,germany
2,8,Ireland,1986,germany
3,8,Luxembourg,1986,germany
4,7,Belgium,1986,germany
5,7,Denmark,1986,germany
6,5,Sweden,1986,germany
7,4,Portugal,1986,germany
8,2,Finland,1986,germany
9,1,Yugoslavia,1986,germany
10,62,points received,1986,germany
0,12,France,1986,belgium
1,12,Ireland,1986,belgium
2,12,Turkey,1986,belgium
3,12,Portugal,1986,belgium
4,12,Finland,1986,belgium
5,10,United Kingdom,1986,belgium
6,10,Denmark,1986,belgium
7,10,Cyprus,1986,belgium
8,10,The Netherlands,1986,belgium
9,10,Iceland,1986,belgium
10,10,Spain,1986,belgium
11,10,Yugoslavia,1986,belgium
12,10,Switzerland,1986,belgium
13,10,Luxembourg,1986,belgium
14,8,Norway,1986,belgium
15,6,Austria,1986,belgium
16,6,Sweden,1986,belgium
17,5,Israel,1986,belgium
18,1,Germany,1986,belgium
19,176,points received,1986,belgium
0,12,Cyprus,1986,yugoslavia
1,7,The Netherlands,1986,yugoslavia
2,7,United Kingdom,1986,yugoslavia
3,5,Iceland,1986,yugoslavia
4,4,Belgium,1986,yugoslavia
5,3,Turkey,1986,yugoslavia
6,3,Ireland,1986,yugoslavia
7,3,Spain,1986,yugoslavia
8,2,Luxembourg,1986,yugoslavia
9,1,Sweden,1986,yugoslavia
10,1,Austria,1986,yugoslavia
11,1,Israel,1986,yugoslavia
12,49,points received,1986,yugoslavia
0,6,Finland,1986,austria
1,2,Ireland,1986,austria
2,2,Germany,1986,austria
3,1,Belgium,1986,austria
4,1,Portugal,1986,austria
5,12,points received,1986,austria
0,12,Norway,1986,luxembourg
1,12,Germany,1986,luxembourg
2,10,Sweden,1986,luxembourg
3,10,Austria,1986,luxembourg
4,10,Belgium,1986,luxembourg
5,8,United Kingdom,1986,luxembourg
6,8,Cyprus,1986,luxembourg
7,8,France,1986,luxembourg
8,8,The Netherlands,1986,luxembourg
9,7,Ireland,1986,luxembourg
10,6,Portugal,1986,luxembourg
11,5,Yugoslavia,1986,luxembourg
12,4,Finland,1986,luxembourg
13,4,Israel,1986,luxembourg
14,2,Switzerland,1986,luxembourg
15,2,Denmark,1986,luxembourg
16,1,Iceland,1986,luxembourg
17,117,points received,1986,luxembourg
0,8,Belgium,1986,finland
1,6,Iceland,1986,finland
2,3,Germany,1986,finland
3,3,Cyprus,1986,finland
4,1,The Netherlands,1986,finland
5,1,Turkey,1986,finland
6,22,points received,1986,finland
