,pts,pts_from,year,points_to
0,7,Finland,2012,iceland
1,6,Denmark,2012,iceland
2,6,Hungary,2012,iceland
3,6,Estonia,2012,iceland
4,5,Norway,2012,iceland
5,4,Slovakia,2012,iceland
6,4,Slovenia,2012,iceland
7,4,Spain,2012,iceland
8,3,Germany,2012,iceland
9,1,Cyprus,2012,iceland
10,46,points received,2012,iceland
0,12,Sweden,2012,austria
1,10,Serbia,2012,austria
2,8,Albania,2012,austria
3,7,Bosnia & Herzegovina,2012,austria
4,6,Spain,2012,austria
5,5,Russia,2012,austria
6,4,Germany,2012,austria
7,3,Turkey,2012,austria
8,2,France,2012,austria
9,1,Moldova,2012,austria
0,12,Albania,2012,switzerland
1,10,Serbia,2012,switzerland
2,8,Spain,2012,switzerland
3,7,Sweden,2012,switzerland
4,6,France,2012,switzerland
5,5,Italy,2012,switzerland
6,4,Germany,2012,switzerland
7,3,Turkey,2012,switzerland
8,2,Moldova,2012,switzerland
9,1,Bosnia & Herzegovina,2012,switzerland
0,12,Russia,2012,sweden
1,12,Israel,2012,sweden
2,12,Norway,2012,sweden
3,12,Finland,2012,sweden
4,12,France,2012,sweden
5,12,Estonia,2012,sweden
6,12,Slovakia,2012,sweden
7,12,Hungary,2012,sweden
8,12,Latvia,2012,sweden
9,12,Iceland,2012,sweden
10,12,Spain,2012,sweden
11,12,United Kingdom,2012,sweden
12,12,Denmark,2012,sweden
13,12,Germany,2012,sweden
14,12,Austria,2012,sweden
15,12,Ireland,2012,sweden
16,12,Belgium,2012,sweden
17,12,The Netherlands,2012,sweden
18,10,Romania,2012,sweden
19,10,Lithuania,2012,sweden
20,10,Serbia,2012,sweden
21,10,Slovenia,2012,sweden
22,10,Cyprus,2012,sweden
23,8,Bosnia & Herzegovina,2012,sweden
24,8,Georgia,2012,sweden
25,8,Bulgaria,2012,sweden
26,7,Croatia,2012,sweden
27,7,Switzerland,2012,sweden
28,7,Azerbaijan,2012,sweden
29,7,Moldova,2012,sweden
30,7,Montenegro,2012,sweden
31,6,Ukraine,2012,sweden
32,6,Malta,2012,sweden
33,6,North Macedonia,2012,sweden
34,6,Turkey,2012,sweden
35,6,Belarus,2012,sweden
36,6,Greece,2012,sweden
37,5,Albania,2012,sweden
38,3,San Marino,2012,sweden
39,3,Portugal,2012,sweden
40,372,points received,2012,sweden
0,10,Turkey,2012,bosnia-herzegovina
1,10,Croatia,2012,bosnia-herzegovina
2,7,Austria,2012,bosnia-herzegovina
3,7,Slovenia,2012,bosnia-herzegovina
4,7,North Macedonia,2012,bosnia-herzegovina
5,6,Montenegro,2012,bosnia-herzegovina
6,5,Serbia,2012,bosnia-herzegovina
7,2,Slovakia,2012,bosnia-herzegovina
8,1,Switzerland,2012,bosnia-herzegovina
9,55,points received,2012,bosnia-herzegovina
0,12,Sweden,2012,latvia
1,10,Russia,2012,latvia
2,8,Estonia,2012,latvia
3,7,Germany,2012,latvia
4,6,Ukraine,2012,latvia
5,5,Ireland,2012,latvia
6,4,Lithuania,2012,latvia
7,3,France,2012,latvia
8,2,United Kingdom,2012,latvia
9,1,Albania,2012,latvia
0,10,United Kingdom,2012,ireland
1,5,The Netherlands,2012,ireland
2,5,Sweden,2012,ireland
3,5,Latvia,2012,ireland
4,4,Iceland,2012,ireland
5,4,Denmark,2012,ireland
6,4,Belgium,2012,ireland
7,4,Finland,2012,ireland
8,3,Croatia,2012,ireland
9,1,Azerbaijan,2012,ireland
10,1,Belarus,2012,ireland
11,46,points received,2012,ireland
0,5,Estonia,2012,united-kingdom
1,4,Ireland,2012,united-kingdom
2,2,Latvia,2012,united-kingdom
3,1,Belgium,2012,united-kingdom
4,12,points received,2012,united-kingdom
0,12,Greece,2012,cyprus
1,12,Sweden,2012,cyprus
2,8,Serbia,2012,cyprus
3,8,Iceland,2012,cyprus
4,6,Albania,2012,cyprus
5,5,Spain,2012,cyprus
6,5,Italy,2012,cyprus
7,3,Israel,2012,cyprus
8,2,Russia,2012,cyprus
9,2,Romania,2012,cyprus
10,2,Azerbaijan,2012,cyprus
11,65,points received,2012,cyprus
0,12,Azerbaijan,2012,turkey
1,10,Albania,2012,turkey
2,8,Malta,2012,turkey
3,8,Germany,2012,turkey
4,8,The Netherlands,2012,turkey
5,8,North Macedonia,2012,turkey
6,7,Belgium,2012,turkey
7,7,Bulgaria,2012,turkey
8,7,Georgia,2012,turkey
9,6,Sweden,2012,turkey
10,5,France,2012,turkey
11,5,San Marino,2012,turkey
12,4,Bosnia & Herzegovina,2012,turkey
13,3,Switzerland,2012,turkey
14,3,Romania,2012,turkey
15,3,Hungary,2012,turkey
16,3,Austria,2012,turkey
17,2,Denmark,2012,turkey
18,1,Lithuania,2012,turkey
19,1,Israel,2012,turkey
20,1,United Kingdom,2012,turkey
21,112,points received,2012,turkey
0,12,Sweden,2012,israel
1,10,Spain,2012,israel
2,8,Azerbaijan,2012,israel
3,7,Russia,2012,israel
4,6,Romania,2012,israel
5,5,Moldova,2012,israel
6,4,Italy,2012,israel
7,3,Cyprus,2012,israel
8,2,Greece,2012,israel
9,1,Turkey,2012,israel
0,12,Albania,2012,greece
1,12,Cyprus,2012,greece
2,8,Romania,2012,greece
3,5,Ukraine,2012,greece
4,5,Azerbaijan,2012,greece
5,4,Serbia,2012,greece
6,4,Moldova,2012,greece
7,3,Russia,2012,greece
8,3,Turkey,2012,greece
9,2,Israel,2012,greece
10,2,Belgium,2012,greece
11,1,Germany,2012,greece
12,1,Bosnia & Herzegovina,2012,greece
13,1,Bulgaria,2012,greece
14,1,Georgia,2012,greece
15,64,points received,2012,greece
