,pts,pts_from,year,points_to
0,12,Croatia,1997,united-kingdom
1,12,Ireland,1997,united-kingdom
2,12,Austria,1997,united-kingdom
3,12,Switzerland,1997,united-kingdom
4,12,The Netherlands,1997,united-kingdom
5,12,Sweden,1997,united-kingdom
6,12,Hungary,1997,united-kingdom
7,12,France,1997,united-kingdom
8,12,Russia,1997,united-kingdom
9,12,Denmark,1997,united-kingdom
10,10,Bosnia & Herzegovina,1997,united-kingdom
11,10,Estonia,1997,united-kingdom
12,10,Greece,1997,united-kingdom
13,10,Poland,1997,united-kingdom
14,10,Germany,1997,united-kingdom
15,8,Italy,1997,united-kingdom
16,8,Iceland,1997,united-kingdom
17,8,Slovenia,1997,united-kingdom
18,7,Portugal,1997,united-kingdom
19,7,Turkey,1997,united-kingdom
20,7,Cyprus,1997,united-kingdom
21,6,Norway,1997,united-kingdom
22,5,Spain,1997,united-kingdom
23,1,Malta,1997,united-kingdom
24,227,points received,1997,united-kingdom
0,5,Hungary,1997,austria
1,3,The Netherlands,1997,austria
2,3,Russia,1997,austria
3,1,Poland,1997,austria
4,12,points received,1997,austria
0,8,Norway,1997,sweden
1,7,United Kingdom,1997,sweden
2,6,Denmark,1997,sweden
3,6,Slovenia,1997,sweden
4,5,Ireland,1997,sweden
5,4,Iceland,1997,sweden
6,36,points received,1997,sweden
0,12,Italy,1997,estonia
1,10,United Kingdom,1997,estonia
2,8,Denmark,1997,estonia
3,8,France,1997,estonia
4,8,Ireland,1997,estonia
5,7,Germany,1997,estonia
6,6,Poland,1997,estonia
7,6,Austria,1997,estonia
8,4,Hungary,1997,estonia
9,4,Spain,1997,estonia
10,3,Slovenia,1997,estonia
11,2,Iceland,1997,estonia
12,1,Portugal,1997,estonia
13,1,Bosnia & Herzegovina,1997,estonia
14,1,Sweden,1997,estonia
15,1,Cyprus,1997,estonia
16,82,points received,1997,estonia
0,12,Portugal,1997,italy
1,10,Switzerland,1997,italy
2,10,Slovenia,1997,italy
3,10,Croatia,1997,italy
4,8,Poland,1997,italy
5,8,Spain,1997,italy
6,7,Russia,1997,italy
7,7,The Netherlands,1997,italy
8,6,Cyprus,1997,italy
9,6,Bosnia & Herzegovina,1997,italy
10,5,Turkey,1997,italy
11,5,Greece,1997,italy
12,4,Denmark,1997,italy
13,4,Germany,1997,italy
14,3,Sweden,1997,italy
15,3,United Kingdom,1997,italy
16,3,Hungary,1997,italy
17,1,Iceland,1997,italy
18,1,Austria,1997,italy
19,1,Ireland,1997,italy
20,114,points received,1997,italy
0,12,Norway,1997,france
1,12,Poland,1997,france
2,12,Estonia,1997,france
3,10,Iceland,1997,france
4,10,Ireland,1997,france
5,6,Russia,1997,france
6,6,Portugal,1997,france
7,5,The Netherlands,1997,france
8,4,Greece,1997,france
9,3,Bosnia & Herzegovina,1997,france
10,3,Cyprus,1997,france
11,3,Switzerland,1997,france
12,2,Sweden,1997,france
13,2,Slovenia,1997,france
14,2,Hungary,1997,france
15,2,Turkey,1997,france
16,1,Denmark,1997,france
17,95,points received,1997,france
0,12,United Kingdom,1997,ireland
1,10,France,1997,ireland
2,10,Italy,1997,ireland
3,10,Denmark,1997,ireland
4,10,Austria,1997,ireland
5,10,Sweden,1997,ireland
6,10,Portugal,1997,ireland
7,8,Estonia,1997,ireland
8,8,Bosnia & Herzegovina,1997,ireland
9,8,Hungary,1997,ireland
10,8,Cyprus,1997,ireland
11,8,Germany,1997,ireland
12,7,Switzerland,1997,ireland
13,7,Poland,1997,ireland
14,6,Spain,1997,ireland
15,6,Croatia,1997,ireland
16,6,Turkey,1997,ireland
17,5,Russia,1997,ireland
18,4,The Netherlands,1997,ireland
19,3,Norway,1997,ireland
20,1,Slovenia,1997,ireland
21,157,points received,1997,ireland
0,8,Sweden,1997,iceland
1,6,United Kingdom,1997,iceland
2,2,Austria,1997,iceland
3,2,Estonia,1997,iceland
4,18,points received,1997,iceland
0,12,Malta,1997,spain
1,10,Hungary,1997,spain
2,10,Cyprus,1997,spain
3,8,Portugal,1997,spain
4,8,Russia,1997,spain
5,8,Switzerland,1997,spain
6,6,Ireland,1997,spain
7,6,The Netherlands,1997,spain
8,6,Greece,1997,spain
9,5,Slovenia,1997,spain
10,4,Turkey,1997,spain
11,4,Poland,1997,spain
12,3,Italy,1997,spain
13,2,Germany,1997,spain
14,2,Denmark,1997,spain
15,2,France,1997,spain
16,96,points received,1997,spain
0,7,Sweden,1997,denmark
1,7,Norway,1997,denmark
2,6,Iceland,1997,denmark
3,2,United Kingdom,1997,denmark
4,2,Greece,1997,denmark
5,1,Switzerland,1997,denmark
6,25,points received,1997,denmark
0,5,Italy,1997,germany
1,5,Switzerland,1997,germany
2,5,Croatia,1997,germany
3,3,Austria,1997,germany
4,3,Malta,1997,germany
5,1,Hungary,1997,germany
6,22,points received,1997,germany
0,3,Spain,1997,switzerland
1,2,Italy,1997,switzerland
2,5,points received,1997,switzerland
0,12,Greece,1997,cyprus
1,12,Iceland,1997,cyprus
2,10,Spain,1997,cyprus
3,10,The Netherlands,1997,cyprus
4,7,Malta,1997,cyprus
5,7,Denmark,1997,cyprus
6,5,Germany,1997,cyprus
7,5,United Kingdom,1997,cyprus
8,4,Italy,1997,cyprus
9,4,France,1997,cyprus
10,4,Switzerland,1997,cyprus
11,4,Slovenia,1997,cyprus
12,4,Croatia,1997,cyprus
13,3,Ireland,1997,cyprus
14,3,Portugal,1997,cyprus
15,2,Norway,1997,cyprus
16,1,Russia,1997,cyprus
17,1,Estonia,1997,cyprus
18,98,points received,1997,cyprus
0,4,Malta,1997,the-netherlands
1,1,Turkey,1997,the-netherlands
2,5,points received,1997,the-netherlands
0,12,Spain,1997,turkey
1,12,Germany,1997,turkey
2,12,Bosnia & Herzegovina,1997,turkey
3,10,Malta,1997,turkey
4,7,Austria,1997,turkey
5,7,Italy,1997,turkey
6,7,Iceland,1997,turkey
7,7,Greece,1997,turkey
8,6,Switzerland,1997,turkey
9,6,France,1997,turkey
10,6,Sweden,1997,turkey
11,6,Hungary,1997,turkey
12,6,Estonia,1997,turkey
13,5,Portugal,1997,turkey
14,4,Russia,1997,turkey
15,4,United Kingdom,1997,turkey
16,2,The Netherlands,1997,turkey
17,2,Ireland,1997,turkey
18,121,points received,1997,turkey
0,12,Cyprus,1997,greece
1,7,Spain,1997,greece
2,7,Croatia,1997,greece
3,6,Malta,1997,greece
4,5,Norway,1997,greece
5,2,Russia,1997,greece
6,39,points received,1997,greece
0,0,points received,1997,portugal
0,0,points received,1997,norway
0,10,Turkey,1997,slovenia
1,10,Russia,1997,slovenia
2,7,Bosnia & Herzegovina,1997,slovenia
3,7,France,1997,slovenia
4,5,Malta,1997,slovenia
5,4,Portugal,1997,slovenia
6,4,Estonia,1997,slovenia
7,3,Greece,1997,slovenia
8,3,Iceland,1997,slovenia
9,3,Croatia,1997,slovenia
10,2,Poland,1997,slovenia
11,2,Cyprus,1997,slovenia
12,60,points received,1997,slovenia
0,8,Turkey,1997,bosnia-herzegovina
1,4,Austria,1997,bosnia-herzegovina
2,4,Sweden,1997,bosnia-herzegovina
3,3,Germany,1997,bosnia-herzegovina
4,2,Switzerland,1997,bosnia-herzegovina
5,1,Croatia,1997,bosnia-herzegovina
6,22,points received,1997,bosnia-herzegovina
0,8,Malta,1997,croatia
1,5,Sweden,1997,croatia
2,4,Cyprus,1997,croatia
3,3,Poland,1997,croatia
4,2,Bosnia & Herzegovina,1997,croatia
5,1,United Kingdom,1997,croatia
6,1,Germany,1997,croatia
7,24,points received,1997,croatia
0,8,United Kingdom,1997,hungary
1,5,Iceland,1997,hungary
2,5,France,1997,hungary
3,5,Estonia,1997,hungary
4,5,Poland,1997,hungary
5,4,Ireland,1997,hungary
6,3,Turkey,1997,hungary
7,2,Croatia,1997,hungary
8,2,Malta,1997,hungary
9,39,points received,1997,hungary
0,12,Turkey,1997,malta
1,10,Norway,1997,malta
2,8,Croatia,1997,malta
3,8,Greece,1997,malta
4,7,Ireland,1997,malta
5,6,Italy,1997,malta
6,5,Cyprus,1997,malta
7,5,Bosnia & Herzegovina,1997,malta
8,3,Denmark,1997,malta
9,1,Spain,1997,malta
10,1,France,1997,malta
