,pts,pts_from,year,points_to
11,66,points received,1997,malta
0,8,Austria,1997,poland
1,7,Hungary,1997,poland
2,7,Slovenia,1997,poland
3,6,Germany,1997,poland
4,5,Denmark,1997,poland
5,4,Bosnia & Herzegovina,1997,poland
6,4,Norway,1997,poland
7,3,Estonia,1997,poland
8,3,France,1997,poland
9,2,Spain,1997,poland
10,2,Portugal,1997,poland
11,1,Greece,1997,poland
12,1,The Netherlands,1997,poland
13,1,Italy,1997,poland
14,54,points received,1997,poland
0,12,Slovenia,1997,russia
1,8,The Netherlands,1997,russia
2,7,Estonia,1997,russia
3,5,Austria,1997,russia
4,1,Norway,1997,russia
5,33,points received,1997,russia
