,pts,pts_from,year,points_to
0,12,Austria,1978,france
1,10,Sweden,1978,france
2,10,Germany,1978,france
3,10,Italy,1978,france
4,8,Belgium,1978,france
5,8,Greece,1978,france
6,8,United Kingdom,1978,france
7,8,Denmark,1978,france
8,6,Switzerland,1978,france
9,6,The Netherlands,1978,france
10,6,Ireland,1978,france
11,5,Monaco,1978,france
12,5,Spain,1978,france
13,5,Israel,1978,france
14,4,Turkey,1978,france
15,3,Norway,1978,france
16,2,Portugal,1978,france
17,2,Finland,1978,france
18,1,Luxembourg,1978,france
19,119,points received,1978,france
0,12,Norway,1978,ireland
1,10,Turkey,1978,ireland
2,10,Belgium,1978,ireland
3,10,Luxembourg,1978,ireland
4,10,Greece,1978,ireland
5,8,Sweden,1978,ireland
6,7,Switzerland,1978,ireland
7,6,Austria,1978,ireland
8,5,France,1978,ireland
9,5,Germany,1978,ireland
10,3,Finland,1978,ireland
11,86,points received,1978,ireland
0,8,Germany,1978,united-kingdom
1,7,Monaco,1978,united-kingdom
2,6,Turkey,1978,united-kingdom
3,6,Portugal,1978,united-kingdom
4,5,Luxembourg,1978,united-kingdom
5,5,Austria,1978,united-kingdom
6,4,Belgium,1978,united-kingdom
7,3,Ireland,1978,united-kingdom
8,3,Sweden,1978,united-kingdom
9,3,Greece,1978,united-kingdom
10,3,Spain,1978,united-kingdom
11,2,Israel,1978,united-kingdom
12,2,The Netherlands,1978,united-kingdom
13,2,France,1978,united-kingdom
14,2,Switzerland,1978,united-kingdom
15,61,points received,1978,united-kingdom
0,0,points received,1978,norway
0,2,Norway,1978,finland
1,2,points received,1978,finland
0,6,France,1978,denmark
1,4,Israel,1978,denmark
2,2,Austria,1978,denmark
3,1,The Netherlands,1978,denmark
4,13,points received,1978,denmark
0,12,Finland,1978,germany
1,10,Monaco,1978,germany
2,10,Spain,1978,germany
3,8,Turkey,1978,germany
4,7,Sweden,1978,germany
5,7,The Netherlands,1978,germany
6,7,Greece,1978,germany
7,7,Portugal,1978,germany
8,5,Belgium,1978,germany
9,3,Switzerland,1978,germany
10,3,Israel,1978,germany
11,3,Italy,1978,germany
12,1,Denmark,1978,germany
