,pts,pts_from,year,points_to
13,1,Ireland,1978,germany
14,84,points received,1978,germany
0,10,Norway,1978,sweden
1,5,Ireland,1978,sweden
2,4,United Kingdom,1978,sweden
3,4,Finland,1978,sweden
4,3,France,1978,sweden
5,26,points received,1978,sweden
0,1,United Kingdom,1978,turkey
1,1,Norway,1978,turkey
2,2,points received,1978,turkey
0,4,Italy,1978,portugal
1,1,Spain,1978,portugal
2,5,points received,1978,portugal
0,10,Ireland,1978,italy
1,8,Spain,1978,italy
2,8,Monaco,1978,italy
3,6,Norway,1978,italy
4,6,United Kingdom,1978,italy
5,4,France,1978,italy
6,3,Luxembourg,1978,italy
7,2,Greece,1978,italy
8,2,Germany,1978,italy
9,1,Belgium,1978,italy
10,1,Portugal,1978,italy
11,1,Switzerland,1978,italy
12,1,Turkey,1978,italy
13,53,points received,1978,italy
0,12,Denmark,1978,spain
1,8,Switzerland,1978,spain
2,7,Finland,1978,spain
3,7,Austria,1978,spain
4,7,Turkey,1978,spain
5,6,Greece,1978,spain
6,6,Israel,1978,spain
7,4,Monaco,1978,spain
8,4,The Netherlands,1978,spain
9,2,Luxembourg,1978,spain
10,2,Belgium,1978,spain
11,65,points received,1978,spain
0,5,Sweden,1978,austria
1,3,Turkey,1978,austria
2,3,Portugal,1978,austria
3,2,Denmark,1978,austria
4,1,Germany,1978,austria
5,14,points received,1978,austria
0,10,Austria,1978,switzerland
1,8,The Netherlands,1978,switzerland
2,8,Luxembourg,1978,switzerland
3,7,France,1978,switzerland
4,7,Belgium,1978,switzerland
5,6,Germany,1978,switzerland
6,5,Norway,1978,switzerland
7,4,Spain,1978,switzerland
8,3,Denmark,1978,switzerland
9,2,Monaco,1978,switzerland
10,2,United Kingdom,1978,switzerland
11,1,Israel,1978,switzerland
12,1,Finland,1978,switzerland
13,1,Italy,1978,switzerland
14,65,points received,1978,switzerland
0,12,France,1978,belgium
1,12,Ireland,1978,belgium
2,12,Monaco,1978,belgium
3,12,United Kingdom,1978,belgium
4,12,Greece,1978,belgium
5,10,Switzerland,1978,belgium
6,7,Luxembourg,1978,belgium
7,7,Israel,1978,belgium
8,7,Norway,1978,belgium
9,6,Finland,1978,belgium
10,6,Italy,1978,belgium
11,5,The Netherlands,1978,belgium
12,4,Portugal,1978,belgium
13,4,Austria,1978,belgium
14,4,Sweden,1978,belgium
15,3,Germany,1978,belgium
16,2,Spain,1978,belgium
17,125,points received,1978,belgium
0,12,Portugal,1978,luxembourg
1,12,Italy,1978,luxembourg
2,12,Spain,1978,luxembourg
3,7,United Kingdom,1978,luxembourg
4,7,Denmark,1978,luxembourg
5,6,Monaco,1978,luxembourg
6,6,Sweden,1978,luxembourg
7,3,Belgium,1978,luxembourg
8,3,The Netherlands,1978,luxembourg
9,2,Ireland,1978,luxembourg
10,2,Turkey,1978,luxembourg
11,1,Greece,1978,luxembourg
12,73,points received,1978,luxembourg
0,12,Israel,1978,the-netherlands
1,6,Luxembourg,1978,the-netherlands
2,5,Italy,1978,the-netherlands
3,5,Denmark,1978,the-netherlands
4,4,Germany,1978,the-netherlands
5,3,United Kingdom,1978,the-netherlands
6,1,Sweden,1978,the-netherlands
7,1,Monaco,1978,the-netherlands
8,37,points received,1978,the-netherlands
0,10,Israel,1978,greece
1,10,France,1978,greece
2,8,Portugal,1978,greece
3,7,Ireland,1978,greece
4,7,Spain,1978,greece
5,5,Finland,1978,greece
6,4,Switzerland,1978,greece
7,4,Denmark,1978,greece
8,4,Luxembourg,1978,greece
9,3,Austria,1978,greece
10,2,Sweden,1978,greece
11,2,Italy,1978,greece
12,66,points received,1978,greece
0,12,Sweden,1978,monaco
1,10,The Netherlands,1978,monaco
2,10,United Kingdom,1978,monaco
3,10,Denmark,1978,monaco
4,8,Israel,1978,monaco
5,8,Finland,1978,monaco
6,7,Italy,1978,monaco
7,7,Germany,1978,monaco
8,6,Belgium,1978,monaco
9,5,Switzerland,1978,monaco
10,5,Portugal,1978,monaco
11,5,Turkey,1978,monaco
12,4,Ireland,1978,monaco
13,4,Greece,1978,monaco
14,4,Norway,1978,monaco
15,1,France,1978,monaco
16,1,Austria,1978,monaco
17,107,points received,1978,monaco
0,12,Germany,1978,israel
1,12,Switzerland,1978,israel
2,12,Luxembourg,1978,israel
3,12,The Netherlands,1978,israel
4,12,Belgium,1978,israel
5,12,Turkey,1978,israel
6,10,Finland,1978,israel
7,10,Portugal,1978,israel
8,8,Italy,1978,israel
9,8,France,1978,israel
10,8,Ireland,1978,israel
11,8,Austria,1978,israel
12,8,Norway,1978,israel
13,6,Spain,1978,israel
14,6,Denmark,1978,israel
15,5,Greece,1978,israel
16,5,United Kingdom,1978,israel
17,3,Monaco,1978,israel
18,157,points received,1978,israel
