,pts,pts_from,year,points_to
0,1,France,1958,denmark
1,1,The Netherlands,1958,denmark
2,1,Sweden,1958,denmark
3,3,points received,1958,denmark
0,2,France,1958,germany
1,1,Austria,1958,germany
2,1,Belgium,1958,germany
3,1,Sweden,1958,germany
4,5,points received,1958,germany
0,6,The Netherlands,1958,switzerland
1,5,Luxembourg,1958,switzerland
2,4,Italy,1958,switzerland
3,4,Sweden,1958,switzerland
4,3,France,1958,switzerland
5,2,Belgium,1958,switzerland
6,24,points received,1958,switzerland
0,3,Switzerland,1958,sweden
1,3,Luxembourg,1958,sweden
2,2,The Netherlands,1958,sweden
3,1,Austria,1958,sweden
4,1,Belgium,1958,sweden
5,10,points received,1958,sweden
0,9,Denmark,1958,france
1,7,Austria,1958,france
2,6,Italy,1958,france
3,1,Belgium,1958,france
4,1,Luxembourg,1958,france
5,1,Sweden,1958,france
6,1,Germany,1958,france
7,1,Switzerland,1958,france
8,27,points received,1958,france
0,1,Switzerland,1958,the-netherlands
1,1,points received,1958,the-netherlands
0,3,France,1958,austria
1,2,Switzerland,1958,austria
2,1,Belgium,1958,austria
3,1,Luxembourg,1958,austria
4,1,Sweden,1958,austria
5,8,points received,1958,austria
0,5,Germany,1958,belgium
1,1,Denmark,1958,belgium
2,1,Switzerland,1958,belgium
3,1,Sweden,1958,belgium
4,8,points received,1958,belgium
0,1,Switzerland,1958,luxembourg
1,1,points received,1958,luxembourg
0,4,Germany,1958,italy
1,4,Belgium,1958,italy
2,1,France,1958,italy
3,1,The Netherlands,1958,italy
4,1,Sweden,1958,italy
5,1,Switzerland,1958,italy
6,1,Austria,1958,italy
7,13,points received,1958,italy
