,pts,pts_from,year,points_to
16,2,Switzerland,1972,sweden
17,75,points received,1972,sweden
0,10,Luxembourg,1972,portugal
1,9,Italy,1972,portugal
2,7,Sweden,1972,portugal
3,7,Ireland,1972,portugal
4,7,Spain,1972,portugal
5,7,Belgium,1972,portugal
6,6,Switzerland,1972,portugal
7,5,The Netherlands,1972,portugal
8,5,Malta,1972,portugal
9,4,United Kingdom,1972,portugal
10,4,France,1972,portugal
11,4,Monaco,1972,portugal
12,4,Yugoslavia,1972,portugal
13,4,Austria,1972,portugal
14,3,Germany,1972,portugal
15,2,Finland,1972,portugal
16,2,Norway,1972,portugal
17,90,points received,1972,portugal
0,7,Finland,1972,norway
1,6,Luxembourg,1972,norway
2,6,Ireland,1972,norway
3,5,Malta,1972,norway
4,5,Spain,1972,norway
5,5,Yugoslavia,1972,norway
6,5,Portugal,1972,norway
7,4,Germany,1972,norway
8,4,Sweden,1972,norway
9,4,Monaco,1972,norway
10,4,Belgium,1972,norway
11,4,United Kingdom,1972,norway
12,4,The Netherlands,1972,norway
13,3,France,1972,norway
14,3,Austria,1972,norway
15,2,Switzerland,1972,norway
16,2,Italy,1972,norway
17,73,points received,1972,norway
0,8,Belgium,1972,finland
1,8,The Netherlands,1972,finland
2,6,Luxembourg,1972,finland
3,6,Norway,1972,finland
4,6,Spain,1972,finland
5,5,Monaco,1972,finland
6,5,United Kingdom,1972,finland
7,4,Germany,1972,finland
8,4,Sweden,1972,finland
9,4,Portugal,1972,finland
10,4,Yugoslavia,1972,finland
11,3,Switzerland,1972,finland
12,3,France,1972,finland
13,3,Ireland,1972,finland
14,3,Austria,1972,finland
15,3,Italy,1972,finland
16,3,Malta,1972,finland
17,78,points received,1972,finland
0,6,United Kingdom,1972,malta
1,5,Finland,1972,malta
2,4,Ireland,1972,malta
3,4,The Netherlands,1972,malta
4,3,Germany,1972,malta
5,3,Sweden,1972,malta
6,3,Monaco,1972,malta
7,2,Luxembourg,1972,malta
8,2,Portugal,1972,malta
9,2,Norway,1972,malta
10,2,Switzerland,1972,malta
11,2,France,1972,malta
12,2,Spain,1972,malta
13,2,Yugoslavia,1972,malta
14,2,Austria,1972,malta
15,2,Italy,1972,malta
16,2,Belgium,1972,malta
17,48,points received,1972,malta
0,6,Norway,1972,monaco
1,5,The Netherlands,1972,monaco
2,5,United Kingdom,1972,monaco
3,5,Finland,1972,monaco
4,5,Malta,1972,monaco
5,4,Belgium,1972,monaco
6,4,Yugoslavia,1972,monaco
7,4,Germany,1972,monaco
8,4,Ireland,1972,monaco
9,4,Luxembourg,1972,monaco
10,3,Italy,1972,monaco
11,3,France,1972,monaco
12,3,Spain,1972,monaco
13,3,Austria,1972,monaco
14,3,Sweden,1972,monaco
15,2,Portugal,1972,monaco
16,2,Switzerland,1972,monaco
17,65,points received,1972,monaco
0,9,Finland,1972,the-netherlands
1,9,United Kingdom,1972,the-netherlands
2,9,Yugoslavia,1972,the-netherlands
3,8,Norway,1972,the-netherlands
4,8,Spain,1972,the-netherlands
5,8,Ireland,1972,the-netherlands
6,7,Luxembourg,1972,the-netherlands
7,6,Sweden,1972,the-netherlands
8,6,Germany,1972,the-netherlands
9,6,Austria,1972,the-netherlands
10,6,Switzerland,1972,the-netherlands
11,6,France,1972,the-netherlands
12,5,Monaco,1972,the-netherlands
13,5,Portugal,1972,the-netherlands
14,3,Malta,1972,the-netherlands
15,3,Italy,1972,the-netherlands
16,2,Belgium,1972,the-netherlands
17,106,points received,1972,the-netherlands
