,pts,pts_from,year,points_to
0,5,Romania,1998,slovenia
1,4,Finland,1998,slovenia
2,3,Turkey,1998,slovenia
3,3,Croatia,1998,slovenia
4,2,Greece,1998,slovenia
5,17,points received,1998,slovenia
0,12,Slovenia,1998,croatia
1,12,North Macedonia,1998,croatia
2,10,Slovakia,1998,croatia
3,10,Germany,1998,croatia
4,10,Israel,1998,croatia
5,10,Malta,1998,croatia
6,8,France,1998,croatia
7,7,Cyprus,1998,croatia
8,6,Poland,1998,croatia
9,6,Norway,1998,croatia
10,5,Switzerland,1998,croatia
11,5,Greece,1998,croatia
12,5,Belgium,1998,croatia
13,4,Turkey,1998,croatia
14,4,The Netherlands,1998,croatia
15,3,Finland,1998,croatia
16,3,Ireland,1998,croatia
17,3,Estonia,1998,croatia
18,3,Sweden,1998,croatia
19,2,United Kingdom,1998,croatia
20,2,Portugal,1998,croatia
21,1,Spain,1998,croatia
22,131,points received,1998,croatia
0,6,Israel,1998,romania
1,6,points received,1998,romania
0,8,Croatia,1998,slovakia
1,8,points received,1998,slovakia
0,12,Switzerland,1998,germany
1,12,Spain,1998,germany
2,12,The Netherlands,1998,germany
3,10,Portugal,1998,germany
4,8,Slovenia,1998,germany
5,8,Ireland,1998,germany
6,7,Belgium,1998,germany
7,6,Romania,1998,germany
8,6,United Kingdom,1998,germany
9,3,Greece,1998,germany
10,1,Finland,1998,germany
11,1,Estonia,1998,germany
12,86,points received,1998,germany
0,12,Belgium,1998,the-netherlands
1,12,Hungary,1998,the-netherlands
2,10,Croatia,1998,the-netherlands
3,10,United Kingdom,1998,the-netherlands
4,10,Ireland,1998,the-netherlands
5,8,Sweden,1998,the-netherlands
6,8,Israel,1998,the-netherlands
7,8,Greece,1998,the-netherlands
8,8,Norway,1998,the-netherlands
9,7,Portugal,1998,the-netherlands
10,7,Finland,1998,the-netherlands
11,7,Switzerland,1998,the-netherlands
12,7,Malta,1998,the-netherlands
13,7,Turkey,1998,the-netherlands
14,6,Slovakia,1998,the-netherlands
15,6,Germany,1998,the-netherlands
16,5,Poland,1998,the-netherlands
17,5,France,1998,the-netherlands
18,4,Spain,1998,the-netherlands
19,3,North Macedonia,1998,the-netherlands
20,150,points received,1998,the-netherlands
0,6,Croatia,1998,fyr-macedonia
1,4,Slovenia,1998,fyr-macedonia
2,3,Romania,1998,fyr-macedonia
3,3,Slovakia,1998,fyr-macedonia
4,16,points received,1998,fyr-macedonia
0,8,United Kingdom,1998,ireland
1,8,Romania,1998,ireland
2,8,Turkey,1998,ireland
3,7,North Macedonia,1998,ireland
4,6,Malta,1998,ireland
5,6,Hungary,1998,ireland
6,4,Slovakia,1998,ireland
7,4,Norway,1998,ireland
8,2,Croatia,1998,ireland
9,2,Estonia,1998,ireland
10,2,Poland,1998,ireland
11,2,Switzerland,1998,ireland
12,2,Germany,1998,ireland
13,1,Slovenia,1998,ireland
14,1,Portugal,1998,ireland
15,1,Sweden,1998,ireland
16,64,points received,1998,ireland
0,6,Switzerland,1998,spain
1,4,France,1998,spain
2,4,Cyprus,1998,spain
3,3,Belgium,1998,spain
4,3,Israel,1998,spain
5,1,Croatia,1998,spain
6,21,points received,1998,spain
0,12,Estonia,1998,sweden
1,10,Norway,1998,sweden
2,8,Hungary,1998,sweden
3,6,Finland,1998,sweden
4,5,The Netherlands,1998,sweden
5,4,Malta,1998,sweden
6,3,Poland,1998,sweden
7,2,Turkey,1998,sweden
8,2,Ireland,1998,sweden
9,1,United Kingdom,1998,sweden
10,53,points received,1998,sweden
0,10,Sweden,1998,finland
1,10,Estonia,1998,finland
2,1,Norway,1998,finland
3,1,North Macedonia,1998,finland
4,22,points received,1998,finland
0,2,Norway,1998,hungary
1,1,France,1998,hungary
2,1,Romania,1998,hungary
3,4,points received,1998,hungary
0,10,Romania,1998,poland
1,5,Germany,1998,poland
2,2,France,1998,poland
3,2,Hungary,1998,poland
4,19,points received,1998,poland
0,12,Turkey,1998,united-kingdom
1,12,Croatia,1998,united-kingdom
2,12,Israel,1998,united-kingdom
3,12,Romania,1998,united-kingdom
4,10,North Macedonia,1998,united-kingdom
5,10,Hungary,1998,united-kingdom
6,8,Finland,1998,united-kingdom
7,8,Malta,1998,united-kingdom
8,8,Cyprus,1998,united-kingdom
9,8,Estonia,1998,united-kingdom
10,7,Poland,1998,united-kingdom
11,7,Greece,1998,united-kingdom
12,7,Sweden,1998,united-kingdom
13,7,The Netherlands,1998,united-kingdom
14,6,Belgium,1998,united-kingdom
15,6,Portugal,1998,united-kingdom
16,5,Slovenia,1998,united-kingdom
17,5,Norway,1998,united-kingdom
18,5,Ireland,1998,united-kingdom
19,3,France,1998,united-kingdom
20,3,Spain,1998,united-kingdom
