,pts,pts_from,year,points_to
0,12,Russia,2001,france
1,12,Bosnia & Herzegovina,2001,france
2,12,Portugal,2001,france
3,10,Poland,2001,france
4,10,Estonia,2001,france
5,8,The Netherlands,2001,france
6,7,Ireland,2001,france
7,7,Norway,2001,france
8,7,Latvia,2001,france
9,7,Lithuania,2001,france
10,6,United Kingdom,2001,france
11,6,Sweden,2001,france
12,6,Germany,2001,france
13,6,Slovenia,2001,france
14,6,Denmark,2001,france
15,6,Croatia,2001,france
16,4,Greece,2001,france
17,4,Iceland,2001,france
18,3,Spain,2001,france
19,2,Israel,2001,france
20,1,Turkey,2001,france
21,142,points received,2001,france
0,5,United Kingdom,2001,ireland
1,1,Portugal,2001,ireland
2,6,points received,2001,ireland
0,2,Denmark,2001,iceland
1,1,Norway,2001,iceland
2,3,points received,2001,iceland
0,12,Israel,2001,spain
1,8,Greece,2001,spain
2,7,Portugal,2001,spain
3,7,The Netherlands,2001,spain
4,6,Turkey,2001,spain
5,5,France,2001,spain
6,5,Sweden,2001,spain
7,5,Bosnia & Herzegovina,2001,spain
8,4,Norway,2001,spain
9,4,Latvia,2001,spain
10,3,Estonia,2001,spain
11,3,Ireland,2001,spain
12,3,United Kingdom,2001,spain
13,2,Iceland,2001,spain
14,1,Poland,2001,spain
15,1,Slovenia,2001,spain
16,76,points received,2001,spain
0,4,Ireland,2001,united-kingdom
1,3,Russia,2001,united-kingdom
2,3,Croatia,2001,united-kingdom
3,3,Latvia,2001,united-kingdom
4,3,Lithuania,2001,united-kingdom
5,3,Malta,2001,united-kingdom
6,2,Germany,2001,united-kingdom
7,2,The Netherlands,2001,united-kingdom
8,2,Portugal,2001,united-kingdom
9,2,Poland,2001,united-kingdom
10,1,Spain,2001,united-kingdom
11,28,points received,2001,united-kingdom
0,10,Spain,2001,germany
1,10,Portugal,2001,germany
2,8,Russia,2001,germany
3,6,Ireland,2001,germany
4,6,France,2001,germany
5,5,Malta,2001,germany
6,4,Denmark,2001,germany
7,4,Poland,2001,germany
8,3,Norway,2001,germany
9,3,Turkey,2001,germany
10,2,United Kingdom,2001,germany
11,1,Croatia,2001,germany
12,1,Estonia,2001,germany
13,1,Latvia,2001,germany
14,1,Greece,2001,germany
15,1,The Netherlands,2001,germany
16,66,points received,2001,germany
0,6,Portugal,2001,the-netherlands
1,5,Israel,2001,the-netherlands
2,4,Slovenia,2001,the-netherlands
3,1,Russia,2001,the-netherlands
4,16,points received,2001,the-netherlands
0,10,Denmark,2001,sweden
1,8,Turkey,2001,sweden
2,8,Malta,2001,sweden
3,8,Ireland,2001,sweden
4,8,Israel,2001,sweden
5,8,United Kingdom,2001,sweden
6,7,Iceland,2001,sweden
7,7,Estonia,2001,sweden
8,6,Latvia,2001,sweden
9,5,Portugal,2001,sweden
