,pts,pts_from,year,points_to
0,8,Yugoslavia,1982,ireland
1,7,United Kingdom,1982,ireland
2,6,Switzerland,1982,ireland
3,5,Cyprus,1982,ireland
4,5,Sweden,1982,ireland
5,5,Denmark,1982,ireland
6,3,Spain,1982,ireland
7,3,Germany,1982,ireland
8,3,Israel,1982,ireland
9,2,Norway,1982,ireland
10,1,Portugal,1982,ireland
11,1,Turkey,1982,ireland
12,49,points received,1982,ireland
0,10,Cyprus,1982,spain
1,8,Turkey,1982,spain
2,8,Israel,1982,spain
3,7,Switzerland,1982,spain
4,7,Germany,1982,spain
5,6,Finland,1982,spain
6,4,Belgium,1982,spain
7,1,Luxembourg,1982,spain
8,1,Yugoslavia,1982,spain
9,52,points received,1982,spain
0,12,Austria,1982,united-kingdom
1,12,Luxembourg,1982,united-kingdom
2,10,Turkey,1982,united-kingdom
3,7,Ireland,1982,united-kingdom
4,6,Norway,1982,united-kingdom
5,6,Yugoslavia,1982,united-kingdom
6,5,Switzerland,1982,united-kingdom
7,4,Finland,1982,united-kingdom
8,4,Portugal,1982,united-kingdom
9,3,Cyprus,1982,united-kingdom
10,2,Denmark,1982,united-kingdom
11,2,Israel,1982,united-kingdom
12,1,The Netherlands,1982,united-kingdom
13,1,Germany,1982,united-kingdom
14,1,Spain,1982,united-kingdom
15,76,points received,1982,united-kingdom
0,12,Sweden,1982,yugoslavia
1,4,Turkey,1982,yugoslavia
2,3,Denmark,1982,yugoslavia
3,1,Belgium,1982,yugoslavia
4,1,Cyprus,1982,yugoslavia
5,21,points received,1982,yugoslavia
0,3,Portugal,1982,denmark
1,1,Ireland,1982,denmark
2,1,Sweden,1982,denmark
3,5,points received,1982,denmark
0,10,United Kingdom,1982,austria
1,8,Spain,1982,austria
2,7,Cyprus,1982,austria
3,7,Turkey,1982,austria
4,6,Denmark,1982,austria
5,6,Belgium,1982,austria
6,5,Ireland,1982,austria
7,4,Yugoslavia,1982,austria
8,4,Israel,1982,austria
9,57,points received,1982,austria
0,12,Belgium,1982,switzerland
1,12,United Kingdom,1982,switzerland
2,10,Austria,1982,switzerland
3,10,The Netherlands,1982,switzerland
4,10,Yugoslavia,1982,switzerland
5,10,Israel,1982,switzerland
6,8,Ireland,1982,switzerland
7,7,Denmark,1982,switzerland
8,6,Cyprus,1982,switzerland
9,4,Norway,1982,switzerland
10,2,Sweden,1982,switzerland
11,2,Turkey,1982,switzerland
12,2,Luxembourg,1982,switzerland
13,2,Portugal,1982,switzerland
14,97,points received,1982,switzerland
0,10,Spain,1982,belgium
1,10,Denmark,1982,belgium
2,8,Portugal,1982,belgium
3,8,Cyprus,1982,belgium
4,7,Yugoslavia,1982,belgium
5,7,Sweden,1982,belgium
6,6,Israel,1982,belgium
7,6,Turkey,1982,belgium
8,5,Finland,1982,belgium
9,5,Luxembourg,1982,belgium
10,5,Norway,1982,belgium
11,4,Austria,1982,belgium
12,4,Germany,1982,belgium
13,4,Ireland,1982,belgium
14,3,The Netherlands,1982,belgium
15,2,Switzerland,1982,belgium
16,2,United Kingdom,1982,belgium
17,96,points received,1982,belgium
0,12,Norway,1982,cyprus
1,12,The Netherlands,1982,cyprus
2,8,Switzerland,1982,cyprus
3,8,Finland,1982,cyprus
4,7,Spain,1982,cyprus
5,7,Israel,1982,cyprus
6,6,Germany,1982,cyprus
7,5,Yugoslavia,1982,cyprus
8,5,Austria,1982,cyprus
9,5,Portugal,1982,cyprus
10,4,Luxembourg,1982,cyprus
11,3,United Kingdom,1982,cyprus
12,3,Belgium,1982,cyprus
13,85,points received,1982,cyprus
0,5,Germany,1982,the-netherlands
1,3,Sweden,1982,the-netherlands
2,8,points received,1982,the-netherlands
0,8,Denmark,1982,sweden
1,8,Austria,1982,sweden
2,8,Norway,1982,sweden
3,7,Portugal,1982,sweden
4,5,Belgium,1982,sweden
5,5,The Netherlands,1982,sweden
6,5,United Kingdom,1982,sweden
7,4,Switzerland,1982,sweden
8,4,Spain,1982,sweden
9,3,Finland,1982,sweden
10,3,Luxembourg,1982,sweden
11,3,Ireland,1982,sweden
12,2,Yugoslavia,1982,sweden
13,2,Germany,1982,sweden
14,67,points received,1982,sweden
0,8,Luxembourg,1982,turkey
1,3,Austria,1982,turkey
2,3,Switzerland,1982,turkey
3,3,Norway,1982,turkey
4,2,The Netherlands,1982,turkey
5,1,Finland,1982,turkey
6,20,points received,1982,turkey
0,12,Finland,1982,israel
1,12,Germany,1982,israel
2,10,Portugal,1982,israel
3,10,Sweden,1982,israel
4,10,Luxembourg,1982,israel
5,10,Switzerland,1982,israel
6,8,The Netherlands,1982,israel
7,7,Belgium,1982,israel
8,7,Austria,1982,israel
9,6,Spain,1982,israel
10,3,Yugoslavia,1982,israel
11,2,Cyprus,1982,israel
12,1,Denmark,1982,israel
13,1,Norway,1982,israel
14,1,United Kingdom,1982,israel
15,100,points received,1982,israel
0,7,Luxembourg,1982,portugal
1,6,Sweden,1982,portugal
2,5,Turkey,1982,portugal
3,4,United Kingdom,1982,portugal
4,4,The Netherlands,1982,portugal
5,2,Finland,1982,portugal
6,2,Ireland,1982,portugal
7,1,Israel,1982,portugal
8,1,Switzerland,1982,portugal
9,32,points received,1982,portugal
0,10,Germany,1982,norway
1,6,Luxembourg,1982,norway
2,6,Ireland,1982,norway
3,6,Austria,1982,norway
4,4,Sweden,1982,norway
5,4,Cyprus,1982,norway
6,2,Spain,1982,norway
7,2,Belgium,1982,norway
8,40,points received,1982,norway
0,0,points received,1982,finland
0,10,Ireland,1982,luxembourg
1,8,Belgium,1982,luxembourg
2,8,Germany,1982,luxembourg
3,7,Norway,1982,luxembourg
4,7,Finland,1982,luxembourg
5,7,The Netherlands,1982,luxembourg
6,6,United Kingdom,1982,luxembourg
7,6,Portugal,1982,luxembourg
8,5,Spain,1982,luxembourg
9,5,Israel,1982,luxembourg
10,4,Denmark,1982,luxembourg
11,3,Turkey,1982,luxembourg
12,2,Austria,1982,luxembourg
13,78,points received,1982,luxembourg
0,12,Ireland,1982,germany
1,12,Spain,1982,germany
2,12,Yugoslavia,1982,germany
3,12,Denmark,1982,germany
4,12,Switzerland,1982,germany
5,12,Cyprus,1982,germany
6,12,Turkey,1982,germany
7,12,Israel,1982,germany
8,12,Portugal,1982,germany
9,10,Norway,1982,germany
10,10,Finland,1982,germany
11,10,Belgium,1982,germany
12,8,Sweden,1982,germany
13,8,United Kingdom,1982,germany
14,6,The Netherlands,1982,germany
15,1,Austria,1982,germany
16,161,points received,1982,germany
